"","task","description","start","finish","duration","duration_hrs","note","category","date"
"1972","phi",NA,2019-01-04 14:35:00,2019-01-04 14:50:00,00:14:56,0.2489238,NA,"phi",2019-01-04
"1973","review",NA,2019-01-04 14:50:00,2019-01-04 14:52:00,00:01:32,0.0256116,NA,"psi",2019-01-04
"1974","phi",NA,2019-01-04 14:52:00,2019-01-04 15:12:00,00:20:04,0.33449,NA,"phi",2019-01-04
"1975","review",NA,2019-01-04 15:12:00,2019-01-04 15:14:00,00:01:53,0.0314524,NA,"psi",2019-01-04
"1976","phi",NA,2019-01-04 15:14:00,2019-01-04 15:14:00,00:00:01,0.0003335,NA,"phi",2019-01-04
"1977","phi",NA,2019-01-04 15:14:00,2019-01-04 15:54:00,00:40:41,0.6783306,NA,"phi",2019-01-04
"1978","review",NA,2019-01-04 15:56:00,2019-01-04 15:56:00,00:00:47,0.0130736,NA,"psi",2019-01-04
"1979","phi",NA,2019-01-04 18:34:00,2019-01-04 18:36:00,00:02:33,0.0427413,NA,"phi",2019-01-04
"1980","phi",NA,2019-01-04 18:52:00,2019-01-04 19:20:00,00:28:17,0.4714915,NA,"phi",2019-01-04
"1981","review",NA,2019-01-04 19:21:00,2019-01-04 19:22:00,00:00:42,0.0118611,NA,"psi",2019-01-04
"1982","phi",NA,2019-01-04 19:38:00,2019-01-04 19:39:00,00:00:19,0.0054021,NA,"phi",2019-01-04
"1983","review",NA,2019-01-04 19:39:00,2019-01-04 19:39:00,00:00:12,0.0033893,NA,"psi",2019-01-04
"1984","theta",NA,2019-01-04 19:39:00,2019-01-04 19:47:00,00:08:03,0.134296,NA,"theta",2019-01-04
"1985","review",NA,2019-01-04 19:47:00,2019-01-04 19:47:00,00:00:14,0.0041197,NA,"psi",2019-01-04
"1986","psi",NA,2019-01-04 19:47:00,2019-01-04 19:52:00,00:05:01,0.0838204,NA,"psi",2019-01-04
"1987","phi",NA,2019-01-04 20:19:00,2019-01-04 20:53:00,00:33:55,0.5653253,NA,"phi",2019-01-04
"1988","review",NA,2019-01-05 08:39:00,2019-01-05 08:48:00,00:09:13,0.1538674,NA,"psi",2019-01-05
"1989","psi",NA,2019-01-05 08:48:00,2019-01-05 08:55:00,00:07:15,0.1210117,NA,"psi",2019-01-05
"1990","review",NA,2019-01-05 10:00:00,2019-01-05 10:04:00,00:03:11,0.0532318,NA,"psi",2019-01-05
"1991","phi",NA,2019-01-05 10:04:00,2019-01-05 10:04:00,00:00:00,0.0002522,NA,"phi",2019-01-05
"1992","phi",NA,2019-01-05 10:04:00,2019-01-05 10:05:00,00:01:00,0.0168037,NA,"phi",2019-01-05
"1993","theta",NA,2019-01-05 10:05:00,2019-01-05 10:06:00,00:01:18,0.0217605,NA,"theta",2019-01-05
"1994","psi",NA,2019-01-05 10:06:00,2019-01-05 10:09:00,00:03:17,0.0547709,NA,"psi",2019-01-05
"1995","review",NA,2019-01-05 10:09:00,2019-01-05 10:10:00,00:00:48,0.0134086,NA,"psi",2019-01-05
"1996","phi",NA,2019-01-05 10:10:00,2019-01-05 10:33:00,00:22:58,0.3828401,NA,"phi",2019-01-05
"1997","theta",NA,2019-01-05 10:33:00,2019-01-05 11:07:00,00:33:44,0.5622861,NA,"theta",2019-01-05
"1998","review",NA,2019-01-05 11:07:00,2019-01-05 11:07:00,00:00:18,0.0050196,NA,"psi",2019-01-05
"1999","phi",NA,2019-01-05 13:21:00,2019-01-05 13:21:00,00:00:00,0.0002081,NA,"phi",2019-01-05
"2000","phi",NA,2019-01-05 13:21:00,2019-01-05 13:30:00,00:08:24,0.1401921,NA,"phi",2019-01-05
"2001","theta",NA,2019-01-05 13:30:00,2019-01-05 13:49:00,00:19:21,0.3225552,NA,"theta",2019-01-05
"2002","psi",NA,2019-01-05 13:49:00,2019-01-05 13:56:00,00:06:26,0.1073444,NA,"psi",2019-01-05
"2003","review",NA,2019-01-05 13:56:00,2019-01-05 13:56:00,00:00:49,0.0138017,NA,"psi",2019-01-05
"2004","phi",NA,2019-01-05 14:03:00,2019-01-05 14:12:00,00:09:23,0.156431,NA,"phi",2019-01-05
"2005","phi",NA,2019-01-05 16:36:00,2019-01-05 16:47:00,00:10:35,0.1764963,NA,"phi",2019-01-05
"2006","review",NA,2019-01-05 17:01:00,2019-01-05 17:02:00,00:01:13,0.0204981,NA,"psi",2019-01-05
"2007","phi",NA,2019-01-05 17:02:00,2019-01-05 17:15:00,00:12:29,0.2082794,NA,"phi",2019-01-05
"2008","phi",NA,2019-01-05 19:34:00,2019-01-05 20:43:00,01:09:19,1.1553581,NA,"phi",2019-01-05
"2009","review",NA,2019-01-05 20:43:00,2019-01-05 20:47:00,00:03:19,0.0553976,NA,"psi",2019-01-05
"2010","phi",NA,2019-01-05 21:14:00,2019-01-05 22:00:00,00:45:56,0.7657732,NA,"phi",2019-01-05
"2011","review",NA,2019-01-07 08:32:00,2019-01-07 08:43:00,00:10:50,0.1806525,NA,"psi",2019-01-07
"2012","psi",NA,2019-01-07 08:43:00,2019-01-07 09:01:00,00:18:01,0.3004031,NA,"psi",2019-01-07
"2013","review",NA,2019-01-07 10:43:00,2019-01-07 10:44:00,00:01:28,0.0244486,NA,"psi",2019-01-07
"2014","psi",NA,2019-01-07 10:44:00,2019-01-07 10:45:00,00:00:42,0.011814,NA,"psi",2019-01-07
"2015","review",NA,2019-01-07 10:45:00,2019-01-07 10:52:00,00:06:52,0.1145546,NA,"psi",2019-01-07
"2016","phi",NA,2019-01-07 10:52:00,2019-01-07 10:53:00,00:01:07,0.0188293,NA,"phi",2019-01-07
"2017","theta",NA,2019-01-07 10:53:00,2019-01-07 10:55:00,00:01:47,0.0299508,NA,"theta",2019-01-07
"2018","review",NA,2019-01-07 10:55:00,2019-01-07 10:55:00,00:00:16,0.0045598,NA,"psi",2019-01-07
"2019","phi",NA,2019-01-07 10:55:00,2019-01-07 11:20:00,00:25:19,0.4220205,NA,"phi",2019-01-07
"2020","theta",NA,2019-01-07 11:21:00,2019-01-07 11:24:00,00:02:59,0.0499155,NA,"theta",2019-01-07
"2021","psi",NA,2019-01-07 11:24:00,2019-01-07 11:24:00,00:00:04,0.0011201,NA,"psi",2019-01-07
"2022","review",NA,2019-01-07 11:24:00,2019-01-07 11:27:00,00:03:47,0.0632384,NA,"psi",2019-01-07
"2023","phi",NA,2019-01-07 13:49:00,2019-01-07 13:56:00,00:06:48,0.1134366,NA,"phi",2019-01-07
"2024","theta",NA,2019-01-07 13:56:00,2019-01-07 14:11:00,00:15:12,0.2533415,NA,"theta",2019-01-07
"2025","review",NA,2019-01-07 14:11:00,2019-01-07 14:13:00,00:01:30,0.0250279,NA,"psi",2019-01-07
"2026","phi",NA,2019-01-07 15:00:00,2019-01-07 15:00:00,00:00:00,0.0002631,NA,"phi",2019-01-07
"2027","phi",NA,2019-01-07 15:00:00,2019-01-07 15:45:00,00:44:23,0.7398186,NA,"phi",2019-01-07
"2028","review",NA,2019-01-07 15:45:00,2019-01-07 15:45:00,00:00:28,0.007832,NA,"psi",2019-01-07
"2029","phi",NA,2019-01-07 15:45:00,2019-01-07 15:52:00,00:06:31,0.1087971,NA,"phi",2019-01-07
"2030","theta",NA,2019-01-07 15:52:00,2019-01-07 15:52:00,00:00:06,0.0017271,NA,"theta",2019-01-07
"2031","theta",NA,2019-01-07 16:42:00,2019-01-07 16:52:00,00:09:57,0.1660516,NA,"theta",2019-01-07
"2032","review",NA,2019-01-07 16:52:00,2019-01-07 17:03:00,00:11:28,0.191231,NA,"psi",2019-01-07
"2033","phi",NA,2019-01-07 17:03:00,2019-01-07 17:03:00,00:00:01,0.0005116,NA,"phi",2019-01-07
"2034","phi",NA,2019-01-07 17:03:00,2019-01-07 17:16:00,00:13:17,0.2214046,NA,"phi",2019-01-07
"2035","phi",NA,2019-01-07 17:55:00,2019-01-07 17:55:00,00:00:15,0.0041922,NA,"phi",2019-01-07
"2036","phi",NA,2019-01-07 17:55:00,2019-01-07 19:46:00,01:50:44,1.8456497,NA,"phi",2019-01-07
"2037","phi",NA,2019-01-07 19:58:00,2019-01-07 20:11:00,00:13:36,0.2269423,NA,"phi",2019-01-07
"2038","phi",NA,2019-01-07 20:19:00,2019-01-07 20:25:00,00:05:36,0.0935148,NA,"phi",2019-01-07
"2039","phi",NA,2019-01-07 20:32:00,2019-01-07 21:32:00,01:00:11,1.0032178,NA,"phi",2019-01-07
"2040","phi",NA,2019-01-08 06:13:00,2019-01-08 06:25:00,00:12:06,0.2018396,NA,"phi",2019-01-08
"2041","phi",NA,2019-01-08 09:28:00,2019-01-08 09:34:00,00:06:23,0.1064967,NA,"phi",2019-01-08
"2042","phi",NA,2019-01-08 10:11:00,2019-01-08 11:05:00,00:54:08,0.9023889,NA,"phi",2019-01-08
"2043","phi",NA,2019-01-08 13:10:00,2019-01-08 13:52:00,00:42:07,0.7021411,NA,"phi",2019-01-08
"2044","review",NA,2019-01-09 13:17:00,2019-01-09 13:21:00,00:03:55,0.0654056,NA,"psi",2019-01-09
"2045","psi",NA,2019-01-09 13:21:00,2019-01-09 13:22:00,00:01:54,0.0317395,NA,"psi",2019-01-09
"2046","review",NA,2019-01-09 13:22:00,2019-01-09 13:23:00,00:00:03,0.0010656,NA,"psi",2019-01-09
"2047","psi",NA,2019-01-09 13:23:00,2019-01-09 13:32:00,00:09:23,0.156493,NA,"psi",2019-01-09
"2048","review",NA,2019-01-09 13:32:00,2019-01-09 13:32:00,00:00:27,0.0075849,NA,"psi",2019-01-09
"2049","theta",NA,2019-01-09 13:41:00,2019-01-09 13:41:00,00:00:00,0.0002216,NA,"theta",2019-01-09
"2050","phi",NA,2019-01-09 13:41:00,2019-01-09 13:43:00,00:01:30,0.0251629,NA,"phi",2019-01-09
"2051","phi",NA,2019-01-09 14:15:00,2019-01-09 14:17:00,00:02:06,0.0351787,NA,"phi",2019-01-09
"2052","theta",NA,2019-01-09 14:17:00,2019-01-09 14:19:00,00:02:35,0.0430953,NA,"theta",2019-01-09
"2053","psi",NA,2019-01-09 14:19:00,2019-01-09 14:21:00,00:01:23,0.0231688,NA,"psi",2019-01-09
"2054","phi",NA,2019-01-09 14:21:00,2019-01-09 14:27:00,00:05:49,0.0971386,NA,"phi",2019-01-09
"2055","phi",NA,2019-01-09 14:29:00,2019-01-09 15:17:00,00:48:07,0.8021414,NA,"phi",2019-01-09
"2056","phi",NA,2019-01-09 16:22:00,2019-01-09 16:22:00,00:00:01,0.0004442,NA,"phi",2019-01-09
"2057","phi",NA,2019-01-09 16:22:00,2019-01-09 17:30:00,01:07:46,1.1294503,NA,"phi",2019-01-09
"2058","exercise",NA,2019-01-09 17:30:00,2019-01-09 17:30:00,00:00:01,0.0002826,NA,"wellness",2019-01-09
"2059","phi",NA,2019-01-09 18:07:00,2019-01-09 18:07:00,00:00:00,3.46e-05,NA,"phi",2019-01-09
"2060","phi",NA,2019-01-09 18:07:00,2019-01-09 19:49:00,01:41:23,1.6897327,NA,"phi",2019-01-09
"2061","Blog  crafts",NA,2019-01-09 19:50:00,2019-01-09 19:50:00,00:00:03,0.0010606,NA,"wellness",2019-01-09
"2062","review",NA,2019-01-09 20:02:00,2019-01-09 20:02:00,00:00:02,0.0007057,NA,"psi",2019-01-09
"2063","phi",NA,2019-01-09 20:02:00,2019-01-09 21:21:00,01:18:29,1.3081314,NA,"phi",2019-01-09
"2064","phi",NA,2019-01-09 21:34:00,2019-01-09 21:34:00,00:00:02,0.0006754,NA,"phi",2019-01-09
"2065","phi",NA,2019-01-09 21:34:00,2019-01-09 22:37:00,01:03:19,1.05528,NA,"phi",2019-01-09
"2066","phi",NA,2019-01-09 22:41:00,2019-01-09 23:10:00,00:28:21,0.4725706,NA,"phi",2019-01-09
"2067","phi",NA,2019-01-09 23:16:00,2019-01-10 00:04:00,00:48:31,0.8088118,NA,"phi",2019-01-09
"2068","review",NA,2019-01-10 10:08:00,2019-01-10 10:12:00,00:04:40,0.0778602,NA,"psi",2019-01-10
"2069","phi",NA,2019-01-10 10:12:00,2019-01-10 10:30:00,00:17:45,0.2959822,NA,"phi",2019-01-10
"2070","phi",NA,2019-01-10 10:47:00,2019-01-10 11:53:00,01:06:12,1.1035071,NA,"phi",2019-01-10
"2071","psi",NA,2019-01-10 14:08:00,2019-01-10 14:13:00,00:05:10,0.0863705,NA,"psi",2019-01-10
"2072","review",NA,2019-01-10 14:13:00,2019-01-10 14:23:00,00:10:23,0.1732161,NA,"psi",2019-01-10
"2073","phi",NA,2019-01-10 14:23:00,2019-01-10 14:25:00,00:01:20,0.0223969,NA,"phi",2019-01-10
"2074","review",NA,2019-01-12 11:03:00,2019-01-12 11:23:00,00:19:26,0.3239514,NA,"psi",2019-01-12
"2075","phi",NA,2019-01-12 11:23:00,2019-01-12 11:55:00,00:31:53,0.5315601,NA,"phi",2019-01-12
"2076","review",NA,2019-01-12 12:25:00,2019-01-12 12:29:00,00:03:41,0.0616078,NA,"psi",2019-01-12
"2077","phi",NA,2019-01-12 12:29:00,2019-01-12 13:34:00,01:04:54,1.0819326,NA,"phi",2019-01-12
"2078","review",NA,2019-01-12 13:34:00,2019-01-12 13:40:00,00:06:06,0.1019046,NA,"psi",2019-01-12
"2079","review",NA,2019-01-12 16:50:00,2019-01-12 16:52:00,00:02:44,0.0457195,NA,"psi",2019-01-12
"2080","psi",NA,2019-01-12 16:52:00,2019-01-12 17:00:00,00:07:36,0.1268242,NA,"psi",2019-01-12
"2081","theta",NA,2019-01-12 17:05:00,2019-01-12 17:11:00,00:06:19,0.1053077,NA,"theta",2019-01-12
"2082","community",NA,2019-01-12 17:11:00,2019-01-12 17:13:00,00:01:56,0.0323648,NA,"psi",2019-01-12
"2083","theta",NA,2019-01-12 18:46:00,2019-01-12 18:58:00,00:12:23,0.2065783,NA,"theta",2019-01-12
"2084","psi",NA,2019-01-12 18:58:00,2019-01-12 18:58:00,00:00:01,0.0003924,NA,"psi",2019-01-12
"2085","review",NA,2019-01-12 18:58:00,2019-01-12 18:58:00,00:00:12,0.0035389,NA,"psi",2019-01-12
"2086","review",NA,2019-01-13 11:40:00,2019-01-13 12:05:00,00:24:48,0.4134535,NA,"psi",2019-01-13
"2087","review",NA,2019-01-13 12:14:00,2019-01-13 12:19:00,00:05:25,0.0905543,NA,"psi",2019-01-13
"2088","psi",NA,2019-01-13 12:19:00,2019-01-13 12:39:00,00:19:27,0.3244329,NA,"psi",2019-01-13
"2089","theta",NA,2019-01-13 13:08:00,2019-01-13 13:26:00,00:17:32,0.2924464,NA,"theta",2019-01-13
"2090","review",NA,2019-01-13 13:26:00,2019-01-13 13:29:00,00:02:43,0.0454308,NA,"psi",2019-01-13
"2091","phi",NA,2019-01-13 14:31:00,2019-01-13 14:44:00,00:13:02,0.2172742,NA,"phi",2019-01-13
"2092","theta",NA,2019-01-13 14:44:00,2019-01-13 16:08:00,01:23:46,1.3962489,NA,"theta",2019-01-13
"2093","review",NA,2019-01-13 16:08:00,2019-01-13 16:11:00,00:02:51,0.0477565,NA,"psi",2019-01-13
"2094","phi",NA,2019-01-13 17:31:00,2019-01-13 17:58:00,00:26:30,0.4417919,NA,"phi",2019-01-13
"2095","review",NA,2019-01-13 17:58:00,2019-01-13 18:00:00,00:01:43,0.028655,NA,"psi",2019-01-13
"2096","theta",NA,2019-01-13 18:00:00,2019-01-13 18:04:00,00:04:01,0.0670957,NA,"theta",2019-01-13
"2097","review",NA,2019-01-13 18:04:00,2019-01-13 18:04:00,00:00:18,0.0051356,NA,"psi",2019-01-13
"2098","psi",NA,2019-01-13 18:04:00,2019-01-13 18:06:00,00:02:11,0.0364106,NA,"psi",2019-01-13
"2099","review",NA,2019-01-13 18:06:00,2019-01-13 18:09:00,00:03:05,0.0514257,NA,"psi",2019-01-13
"2100","theta",NA,2019-01-13 20:14:00,2019-01-13 20:29:00,00:15:58,0.2662166,NA,"theta",2019-01-13
"2101","phi",NA,2019-01-13 20:29:00,2019-01-13 20:30:00,00:00:05,0.0014068,NA,"phi",2019-01-13
"2102","review",NA,2019-01-13 20:55:00,2019-01-13 20:56:00,00:00:11,0.0030649,NA,"psi",2019-01-13
"2103","review",NA,2019-01-14 10:15:00,2019-01-14 10:25:00,00:09:52,0.1644521,NA,"psi",2019-01-14
"2104","psi",NA,2019-01-14 10:25:00,2019-01-14 10:38:00,00:12:49,0.2137316,NA,"psi",2019-01-14
"2105","review",NA,2019-01-14 11:10:00,2019-01-14 11:13:00,00:03:56,0.0658253,NA,"psi",2019-01-14
"2106","phi",NA,2019-01-14 11:13:00,2019-01-14 11:15:00,00:01:34,0.0261704,NA,"phi",2019-01-14
"2107","theta",NA,2019-01-14 11:15:00,2019-01-14 11:17:00,00:02:12,0.0368151,NA,"theta",2019-01-14
"2108","psi",NA,2019-01-14 11:17:00,2019-01-14 11:24:00,00:06:51,0.1142356,NA,"psi",2019-01-14
"2109","phi",NA,2019-01-14 11:24:00,2019-01-14 11:32:00,00:07:31,0.1253491,NA,"phi",2019-01-14
"2110","theta",NA,2019-01-14 11:32:00,2019-01-14 12:50:00,01:17:50,1.2974045,NA,"theta",2019-01-14
"2111","review",NA,2019-01-14 13:50:00,2019-01-14 13:51:00,00:00:26,0.0073149,NA,"psi",2019-01-14
"2112","review",NA,2019-01-14 16:59:00,2019-01-14 17:01:00,00:01:37,0.026969,NA,"psi",2019-01-14
"2113","phi",NA,2019-01-14 17:01:00,2019-01-14 17:01:00,00:00:01,0.000279,NA,"phi",2019-01-14
"2114","phi",NA,2019-01-14 17:01:00,2019-01-14 17:07:00,00:06:03,0.101017,NA,"phi",2019-01-14
"2115","psi",NA,2019-01-14 17:07:00,2019-01-14 17:09:00,00:02:10,0.0362373,NA,"psi",2019-01-14
"2116","review",NA,2019-01-14 17:09:00,2019-01-14 17:10:00,00:00:22,0.0061118,NA,"psi",2019-01-14
"2117","review",NA,2019-01-14 17:20:00,2019-01-14 17:20:00,00:00:20,0.0058118,NA,"psi",2019-01-14
"2118","phi",NA,2019-01-14 17:20:00,2019-01-14 17:34:00,00:14:02,0.2340924,NA,"phi",2019-01-14
"2119","psi",NA,2019-01-14 17:34:00,2019-01-14 17:49:00,00:14:58,0.2496195,NA,"psi",2019-01-14
"2120","review",NA,2019-01-14 17:49:00,2019-01-14 17:51:00,00:02:01,0.0338261,NA,"psi",2019-01-14
"2121","theta",NA,2019-01-14 18:03:00,2019-01-14 18:07:00,00:04:12,0.0702005,NA,"theta",2019-01-14
"2122","psi",NA,2019-01-14 18:07:00,2019-01-14 18:07:00,00:00:03,0.0010836,NA,"psi",2019-01-14
"2123","phi",NA,2019-01-14 18:10:00,2019-01-14 18:10:00,00:00:51,0.0141775,NA,"phi",2019-01-14
"2124","psi",NA,2019-01-14 18:10:00,2019-01-14 18:14:00,00:03:33,0.0592475,NA,"psi",2019-01-14
"2125","psi",NA,2019-01-14 18:14:00,2019-01-14 18:20:00,00:06:07,0.1021391,NA,"psi",2019-01-14
"2126","review",NA,2019-01-14 18:20:00,2019-01-14 18:22:00,00:02:12,0.0367611,NA,"psi",2019-01-14
"2127","theta",NA,2019-01-14 18:22:00,2019-01-14 18:24:00,00:01:26,0.0240181,NA,"theta",2019-01-14
"2128","psi",NA,2019-01-14 18:24:00,2019-01-14 18:43:00,00:19:29,0.3247449,NA,"psi",2019-01-14
"2129","review",NA,2019-01-14 18:43:00,2019-01-14 18:44:00,00:00:18,0.0052417,NA,"psi",2019-01-14
"2130","phi",NA,2019-01-14 18:56:00,2019-01-14 19:08:00,00:12:26,0.2073945,NA,"phi",2019-01-14
"2131","review",NA,2019-01-14 19:08:00,2019-01-14 19:10:00,00:01:48,0.030175,NA,"psi",2019-01-14
"2132","review",NA,2019-01-14 19:10:00,2019-01-14 19:11:00,00:01:03,0.017762,NA,"psi",2019-01-14
"2133","phi",NA,2019-01-14 19:24:00,2019-01-14 19:36:00,00:11:52,0.197964,NA,"phi",2019-01-14
"2134","review",NA,2019-01-14 19:36:00,2019-01-14 19:36:00,00:00:27,0.0076418,NA,"psi",2019-01-14
"2135","phi",NA,2019-01-14 19:36:00,2019-01-14 19:40:00,00:04:10,0.0694933,NA,"phi",2019-01-14
"2136","review",NA,2019-01-14 19:40:00,2019-01-14 19:40:00,00:00:17,0.0049324,NA,"psi",2019-01-14
"2137","review",NA,2019-01-15 05:16:00,2019-01-15 05:37:00,00:20:55,0.3488828,NA,"psi",2019-01-15
"2138","review",NA,2019-01-16 10:48:00,2019-01-16 11:13:00,00:24:45,0.4126834,NA,"psi",2019-01-16
"2139","phi",NA,2019-01-16 11:13:00,2019-01-16 11:23:00,00:10:08,0.1689817,NA,"phi",2019-01-16
"2140","phi",NA,2019-01-16 12:46:00,2019-01-16 12:53:00,00:06:43,0.1119772,NA,"phi",2019-01-16
"2141","phi",NA,2019-01-16 12:53:00,2019-01-16 12:56:00,00:02:28,0.041169,NA,"phi",2019-01-16
"2142","review",NA,2019-01-16 12:56:00,2019-01-16 12:56:00,00:00:04,0.0013829,NA,"psi",2019-01-16
"2143","psi",NA,2019-01-16 12:56:00,2019-01-16 13:06:00,00:10:06,0.1685234,NA,"psi",2019-01-16
"2144","review",NA,2019-01-16 13:06:00,2019-01-16 13:06:00,00:00:22,0.0062305,NA,"psi",2019-01-16
"2145","phi",NA,2019-01-16 13:06:00,2019-01-16 13:15:00,00:09:03,0.1509986,NA,"phi",2019-01-16
"2146","phi",NA,2019-01-16 13:50:00,2019-01-16 13:51:00,00:00:20,0.005678,NA,"phi",2019-01-16
"2147","phi",NA,2019-01-16 13:51:00,2019-01-16 13:52:00,00:01:17,0.021521,NA,"phi",2019-01-16
"2148","theta",NA,2019-01-16 13:52:00,2019-01-16 14:06:00,00:14:34,0.2430468,NA,"theta",2019-01-16
"2149","review",NA,2019-01-16 14:06:00,2019-01-16 14:07:00,00:00:25,0.0070753,NA,"psi",2019-01-16
"2150","psi",NA,2019-01-16 14:07:00,2019-01-16 14:18:00,00:11:06,0.1852585,NA,"psi",2019-01-16
"2151","review",NA,2019-01-16 14:18:00,2019-01-16 14:19:00,00:00:47,0.013195,NA,"psi",2019-01-16
"2152","review",NA,2019-01-17 09:50:00,2019-01-17 10:03:00,00:12:42,0.2116679,NA,"psi",2019-01-17
"2153","review",NA,2019-01-17 13:27:00,2019-01-17 13:29:00,00:02:22,0.0394688,NA,"psi",2019-01-17
"2154","psi",NA,2019-01-17 13:29:00,2019-01-17 13:36:00,00:07:11,0.1197978,NA,"psi",2019-01-17
"2155","psi",NA,2019-01-17 13:36:00,2019-01-17 13:45:00,00:09:13,0.1537108,NA,"psi",2019-01-17
"2156","phi",NA,2019-01-17 13:52:00,2019-01-17 14:07:00,00:14:56,0.2489921,NA,"phi",2019-01-17
"2157","review",NA,2019-01-17 14:07:00,2019-01-17 14:13:00,00:06:14,0.1040818,NA,"psi",2019-01-17
"2158","review",NA,2019-01-17 14:14:00,2019-01-17 14:15:00,00:01:15,0.0208408,NA,"psi",2019-01-17
"2159","phi",NA,2019-01-17 14:15:00,2019-01-17 14:24:00,00:09:14,0.1541468,NA,"phi",2019-01-17
"2160","review",NA,2019-01-17 18:59:00,2019-01-17 19:00:00,00:00:12,0.0034599,NA,"psi",2019-01-17
"2161","psi",NA,2019-01-17 19:00:00,2019-01-17 19:08:00,00:08:42,0.1450711,NA,"psi",2019-01-17
"2162","review",NA,2019-01-18 05:12:00,2019-01-18 05:18:00,00:06:21,0.1060954,NA,"psi",2019-01-18
"2163","psi",NA,2019-01-18 05:18:00,2019-01-18 05:26:00,00:08:15,0.1376786,NA,"psi",2019-01-18
"2164","review",NA,2019-01-18 05:26:00,2019-01-18 05:35:00,00:08:56,0.1491369,NA,"psi",2019-01-18
"2165","theta",NA,2019-01-18 05:35:00,2019-01-18 05:35:00,00:00:05,0.0016527,NA,"theta",2019-01-18
"2166","review",NA,2019-01-18 05:35:00,2019-01-18 05:37:00,00:01:09,0.0192615,NA,"psi",2019-01-18
"2167","theta",NA,2019-01-18 05:37:00,2019-01-18 05:39:00,00:02:11,0.0366442,NA,"theta",2019-01-18
"2168","psi",NA,2019-01-18 05:39:00,2019-01-18 06:00:00,00:20:57,0.3493917,NA,"psi",2019-01-18
"2169","review",NA,2019-01-18 06:00:00,2019-01-18 06:02:00,00:02:31,0.0419981,NA,"psi",2019-01-18
"2170","review",NA,2019-01-18 08:00:00,2019-01-18 08:02:00,00:02:04,0.0346693,NA,"psi",2019-01-18
"2171","phi",NA,2019-01-18 08:02:00,2019-01-18 08:02:00,00:00:02,0.0006538,NA,"phi",2019-01-18
"2172","phi",NA,2019-01-18 08:02:00,2019-01-18 08:06:00,00:04:23,0.0730911,NA,"phi",2019-01-18
"2173","theta",NA,2019-01-18 08:06:00,2019-01-18 08:13:00,00:07:04,0.117982,NA,"theta",2019-01-18
"2174","psi",NA,2019-01-18 08:13:00,2019-01-18 08:17:00,00:03:13,0.0537688,NA,"psi",2019-01-18
"2175","theta",NA,2019-01-18 08:17:00,2019-01-18 08:31:00,00:14:36,0.2433427,NA,"theta",2019-01-18
"2176","review",NA,2019-01-18 08:31:00,2019-01-18 08:35:00,00:03:59,0.0666441,NA,"psi",2019-01-18
"2177","phi",NA,2019-01-18 09:09:00,2019-01-18 09:51:00,00:41:32,0.6923855,NA,"phi",2019-01-18
"2178","review",NA,2019-01-18 09:51:00,2019-01-18 10:04:00,00:12:49,0.2138201,NA,"psi",2019-01-18
"2179","theta",NA,2019-01-18 10:04:00,2019-01-18 10:05:00,00:01:28,0.0245495,NA,"theta",2019-01-18
"2180","review",NA,2019-01-18 10:05:00,2019-01-18 10:05:00,00:00:02,0.0007165,NA,"psi",2019-01-18
"2181","psi",NA,2019-01-18 10:05:00,2019-01-18 10:05:00,00:00:03,0.000836,NA,"psi",2019-01-18
"2182","review",NA,2019-01-18 10:05:00,2019-01-18 10:05:00,00:00:06,0.0017406,NA,"psi",2019-01-18
"2183","psi",NA,2019-01-18 10:05:00,2019-01-18 10:13:00,00:08:05,0.1349661,NA,"psi",2019-01-18
"2184","phi",NA,2019-01-18 10:13:00,2019-01-18 10:35:00,00:22:00,0.3668938,NA,"phi",2019-01-18
"2185","review",NA,2019-01-18 10:35:00,2019-01-18 10:42:00,00:06:54,0.1150996,NA,"psi",2019-01-18
"2186","review",NA,2019-01-18 12:08:00,2019-01-18 12:10:00,00:01:29,0.0248305,NA,"psi",2019-01-18
"2187","phi",NA,2019-01-18 12:57:00,2019-01-18 13:07:00,00:09:29,0.1581664,NA,"phi",2019-01-18
"2188","phi",NA,2019-01-18 13:13:00,2019-01-18 13:35:00,00:21:58,0.3661304,NA,"phi",2019-01-18
"2189","phi",NA,2019-01-18 13:35:00,2019-01-18 13:48:00,00:12:35,0.2097566,NA,"phi",2019-01-18
"2190","review",NA,2019-01-18 13:48:00,2019-01-18 13:49:00,00:01:18,0.0217588,NA,"psi",2019-01-18
"2191","review",NA,2019-01-18 13:56:00,2019-01-18 13:59:00,00:02:28,0.0411175,NA,"psi",2019-01-18
"2192","psi",NA,2019-01-18 13:59:00,2019-01-18 14:00:00,00:01:17,0.0214185,NA,"psi",2019-01-18
"2193","phi",NA,2019-01-18 19:48:00,2019-01-18 20:08:00,00:20:35,0.343264,NA,"phi",2019-01-18
"2194","psi",NA,2019-01-19 06:26:00,2019-01-19 06:35:00,00:09:18,0.1550553,NA,"psi",2019-01-19
"2195","phi",NA,2019-01-19 06:35:00,2019-01-19 06:35:00,00:00:12,0.0035058,NA,"phi",2019-01-19
"2196","review",NA,2019-01-19 06:35:00,2019-01-19 06:36:00,00:00:06,0.0018512,NA,"psi",2019-01-19
"2197","psi",NA,2019-01-19 06:36:00,2019-01-19 06:59:00,00:23:50,0.3973845,NA,"psi",2019-01-19
